1,0,1,1,1,0,0,1,0,tie
0,0,1,1,1,0,0,1,1,tie
0,1,0,1,0,1,1,0,1,tie
0,1,1,1,0,0,0,0,1,tie
1,1,0,0,0,1,1,1,0,tie
0,1,0,0,1,1,1,0,1,tie
0,1,0,1,1,0,1,0,1,tie
1,0,1,1,0,0,0,1,1,tie
1,0,1,0,1,1,0,1,0,tie
1,1,0,0,0,1,1,0,1,tie
1,0,1,1,0,1,0,1,0,tie
0,1,0,0,1,0,1,0,1,tie
0,0,1,1,1,0,0,0,1,tie
0,1,0,0,1,1,1,0,0,tie
0,0,1,1,1,0,0,1,0,tie
1,0,1,0,0,1,1,1,0,tie
1,0,0,0,1,1,1,1,0,tie
1,0,0,0,0,1,1,1,0,tie
0,1,1,1,1,0,0,0,1,tie
0,1,0,1,1,0,0,0,1,tie
1,0,1,0,0,1,0,1,0,tie
1,1,0,0,0,1,1,0,0,tie
1,0,1,1,0,0,0,1,0,tie
0,1,0,0,0,1,1,0,1,tie
1,0,0,0,1,1,0,1,0,tie
0,1,1,1,0,0,0,1,1,tie
1,1,0,0,1,1,1,0,0,tie
0,1,0,1,0,0,1,0,1,tie
0,1,1,1,0,0,1,0,1,tie
1,0,0,0,1,1,1,0,0,tie
0,0,1,1,0,0,0,1,1,tie
1,0,1,0,1,0,0,1,0,tie
